variant,repeat,fold,status,message
Full EBRO-MH,0,1,succeeded,
Uniform prior,0,1,succeeded,
Raw LLM confidence,0,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,0,1,succeeded,
Single best rule,0,1,succeeded,
Full EBRO-MH,0,2,succeeded,
Uniform prior,0,2,succeeded,
Raw LLM confidence,0,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,0,2,succeeded,
Single best rule,0,2,succeeded,
Full EBRO-MH,0,3,succeeded,
Uniform prior,0,3,succeeded,
Raw LLM confidence,0,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,0,3,succeeded,
Single best rule,0,3,succeeded,
Full EBRO-MH,0,4,succeeded,
Uniform prior,0,4,succeeded,
Raw LLM confidence,0,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,0,4,succeeded,
Single best rule,0,4,succeeded,
Full EBRO-MH,0,5,succeeded,
Uniform prior,0,5,succeeded,
Raw LLM confidence,0,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,0,5,succeeded,
Single best rule,0,5,succeeded,
Full EBRO-MH,1,1,succeeded,
Uniform prior,1,1,succeeded,
Raw LLM confidence,1,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,1,1,succeeded,
Single best rule,1,1,succeeded,
Full EBRO-MH,1,2,succeeded,
Uniform prior,1,2,succeeded,
Raw LLM confidence,1,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,1,2,succeeded,
Single best rule,1,2,succeeded,
Full EBRO-MH,1,3,succeeded,
Uniform prior,1,3,succeeded,
Raw LLM confidence,1,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,1,3,succeeded,
Single best rule,1,3,succeeded,
Full EBRO-MH,1,4,succeeded,
Uniform prior,1,4,succeeded,
Raw LLM confidence,1,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,1,4,succeeded,
Single best rule,1,4,succeeded,
Full EBRO-MH,1,5,succeeded,
Uniform prior,1,5,succeeded,
Raw LLM confidence,1,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,1,5,succeeded,
Single best rule,1,5,succeeded,
Full EBRO-MH,2,1,succeeded,
Uniform prior,2,1,succeeded,
Raw LLM confidence,2,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,2,1,succeeded,
Single best rule,2,1,succeeded,
Full EBRO-MH,2,2,succeeded,
Uniform prior,2,2,succeeded,
Raw LLM confidence,2,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,2,2,succeeded,
Single best rule,2,2,succeeded,
Full EBRO-MH,2,3,succeeded,
Uniform prior,2,3,succeeded,
Raw LLM confidence,2,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,2,3,succeeded,
Single best rule,2,3,succeeded,
Full EBRO-MH,2,4,succeeded,
Uniform prior,2,4,succeeded,
Raw LLM confidence,2,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,2,4,succeeded,
Single best rule,2,4,succeeded,
Full EBRO-MH,2,5,succeeded,
Uniform prior,2,5,succeeded,
Raw LLM confidence,2,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,2,5,succeeded,
Single best rule,2,5,succeeded,
Full EBRO-MH,3,1,succeeded,
Uniform prior,3,1,succeeded,
Raw LLM confidence,3,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,3,1,succeeded,
Single best rule,3,1,succeeded,
Full EBRO-MH,3,2,succeeded,
Uniform prior,3,2,succeeded,
Raw LLM confidence,3,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,3,2,succeeded,
Single best rule,3,2,succeeded,
Full EBRO-MH,3,3,succeeded,
Uniform prior,3,3,succeeded,
Raw LLM confidence,3,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,3,3,succeeded,
Single best rule,3,3,succeeded,
Full EBRO-MH,3,4,succeeded,
Uniform prior,3,4,succeeded,
Raw LLM confidence,3,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,3,4,succeeded,
Single best rule,3,4,succeeded,
Full EBRO-MH,3,5,succeeded,
Uniform prior,3,5,succeeded,
Raw LLM confidence,3,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,3,5,succeeded,
Single best rule,3,5,succeeded,
Full EBRO-MH,4,1,succeeded,
Uniform prior,4,1,succeeded,
Raw LLM confidence,4,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,4,1,succeeded,
Single best rule,4,1,succeeded,
Full EBRO-MH,4,2,succeeded,
Uniform prior,4,2,succeeded,
Raw LLM confidence,4,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,4,2,succeeded,
